# COMP90054 Planning for Autonomy: high-confidence finalized-ASR corrections.
# This file is activated only by an explicitly entered matching lecture topic.
breath research	breadth-first search
breath search	breadth-first search
the firstst search	depth-first search
Dykstra	Dijkstra
gold state	goal state
goal death	goal depth
FIFA	FIFO
PriorityQ	priority queue
Bonnotation	Big O notation
Russell and Norwich	Russell and Norvig
AI for Modern Approach	Artificial Intelligence: A Modern Approach
the cube becomes	the queue becomes
