# Optional terminology for Software Processes and Management.
software development life cycle	软件开发生命周期
waterfall model	瀑布模型
spiral model	螺旋模型
incremental model	增量模型
rapid prototyping	快速原型开发
minimum viable product	最小可行产品
requirements elicitation	需求获取
requirements specification	需求规格说明
functional requirement	功能需求
non-functional requirement	非功能需求
change control	变更控制
feedback loop	反馈循环
risk analysis	风险分析
risk management	风险管理
agile manifesto	敏捷宣言
agile methodology	敏捷方法
defined process control	定义式过程控制
empirical process control	经验式过程控制
quality assurance	质量保证
software architecture	软件架构
stakeholder	利益相关者
user story	用户故事
Scrum	Scrum
Kanban	看板
